GENERAZIONE,MAX,MEDIA,VARIANZA
0,42,24,21,
1,39,25,17,
2,39,25,19,
3,37,26,18,
4,38,26,19,
5,39,26,18,
6,41,26,18,
7,43,27,19,
8,43,26,20,
9,43,26,21,
10,43,26,21,
11,42,27,20,
12,42,27,22,
13,42,27,22,
14,42,27,24,
15,42,27,23,
16,42,27,23,
17,42,27,23,
18,43,27,24,
19,44,27,22,
20,44,27,22,
21,44,27,24,
22,38,27,20,
23,41,27,21,
24,41,27,22,
25,41,27,22,
26,41,27,23,
27,41,27,21,
28,40,27,22,
29,43,27,22,
30,43,27,21,
31,41,26,21,
32,40,27,19,
33,40,27,19,
34,40,26,20,
35,39,27,19,
36,39,26,20,
37,41,26,21,
38,40,26,20,
39,41,26,20,
40,40,26,19,
41,40,26,20,
42,40,26,20,
43,40,26,21,
44,40,26,21,
45,44,26,21,
46,39,26,20,
47,38,26,20,
48,39,26,20,
49,39,26,20,
50,38,26,18,
51,39,26,20,
52,39,26,20,
53,39,26,21,
54,40,26,21,
55,41,26,23,
56,41,26,24,
57,41,26,24,
58,40,27,22,
59,44,27,21,
60,40,27,22,
61,39,27,21,
62,41,27,23,
63,40,27,20,
64,41,26,22,
65,43,26,21,
66,43,26,22,
67,38,26,19,
68,40,26,19,
69,38,26,20,
70,44,26,20,
71,44,26,21,
72,43,27,22,
73,42,26,23,
74,41,26,23,
75,41,27,23,
76,43,27,22,
77,39,27,20,
78,39,27,21,
79,40,27,19,
80,43,27,19,
81,43,27,18,
82,43,27,21,
83,41,27,20,
84,40,27,17,
85,38,27,18,
86,42,27,19,
87,42,27,20,
88,42,27,21,
89,41,27,19,
90,40,27,21,
91,40,27,23,
92,45,27,23,
93,41,27,21,
94,41,27,21,
95,39,27,20,
96,45,27,19,
97,42,27,19,
98,42,26,20,
99,39,26,20,
100,40,27,21,
